feeder_name,feeder_slug,state,district,band,avg_supply_hours_per_day,zero_supply_days,fault_hours_per_day,fault_hours_total,os_hours_per_day,os_hours_total,load_shedding_hours_per_day,load_shedding_hours_total,tcn_hours_total_excluded,energy_positive_days,energy_zero_or_negative_days,energy_no_data_days
ABUJA ROAD,KN-IDH-ABU,Kano,Kano Central,B,3.06,5,0.0,0.0,0.0,0.0,0.0,0,0,26,3,2
AHMADU BELLO,KN-CLU-AHM,Kano,Kano Central,A,20.16,0,4.18,129.53,0.0,0.0,1.32,40.94,31.42,29,0,2
AIRPORT ROAD,KN-PRP-AIR,Kano,Kano Central,B,0.35,29,0.39,12.21,0.0,0.0,23.67,733.67,0,20,2,9
AJASA,KN-DAN-AJA,Kano,Kano Central,B,2.58,11,20.58,638.13,0.0,0.0,21.24,658.46,0,25,1,5
AMINU KANO,KN-GOR-AMI,Kano,Kano North,C,0.58,25,12.09,374.89,0.0,0.0,23.22,719.9,0,20,4,7
APEX,KN-FAD-APE,Katsina,Katsina North,A,20.61,2,0.0,0.0,0.0,0.0,0.0,0,0,25,1,5
ARMY BARRACKS,KN-IBB-ARM,Katsina,Katsina North,D,4.16,4,1.92,59.41,0.0,0.0,4.78,148.03,0,23,0,8
AUDU BAKO,KN-CLU-AUD,Kano,Kano Central,A,19.87,0,4.49,139.13,0.0,0.0,1.61,50.03,35.56,31,0,0
BACHIRAWA,KN-BOK-BAC,Kano,Kano East,C,1.58,13,0.0,0.0,0.0,0.0,24.0,744.0,0,16,10,5
BADAWA,KN-CLU-BAD,Kano,Kano Central,B,14.0,0,11.4,353.45,0.0,0.0,5.26,163.16,28.74,29,2,0
BANK ROAD,KN-CLU-BAN,Kano,Kano Central,A,18.74,0,6.27,194.48,0.0,0.0,1.75,54.23,35.67,31,0,0
BAYAJIDDA,KN-DAU-BAY,Jigawa,Jigawa South,B,5.23,2,0.0,0.0,0.0,0.0,0.0,0,0,28,1,2
BCGA,KN-MAL2-BCG,Katsina,Katsina South,C,8.13,5,12.58,389.94,0.0,0.0,13.13,406.98,0,27,3,1
BELLO DANDAGO,KN-RAD-BEL,Kano,Kano City,B,13.0,2,10.15,314.77,0.0,0.0,1.02,31.5,49.19,25,6,0
BICHI TOWN,KN-BIC-BIC,Kano,Kano West,C,7.35,3,0.0,0.0,0.0,0.0,0.0,0,0,24,1,6
BOMPAI,KN-BRI-BOM,Kano,Kano Central,A,21.39,0,2.02,62.74,0.0,0.0,1.25,38.88,0,24,0,7
CAMPUS,KN-LAW-CAM,Kano,Kano West,C,0.16,30,22.27,690.5,0.0,0.0,1.38,42.78,0,1,3,27
CERAMIC,KN-ABA-CER,Kano,Kano Industrial,A,23.03,0,0.72,22.25,0.0,0.0,0.0,0.03,17.03,31,0,0
CHALAWA WATER PLANT,KN-CHA-CHA,Kano,Kano West,A,19.87,3,4.85,150.47,0.0,0.0,0.0,0,0,21,2,8
