Feeder ID,Feeder Name
KN-ABA-CER,CERAMIC
KN-ABA-HAS,HASKE SOLAR
KN-ABA-NBC,NBC
KN-ABA-ZAW,ZAWACIKI
KN-ADO-SAG,SAGAGI
KN-BAT-HOU,HOUSING ESTATE
KN-BAT-NND,NNDC
KN-BAT-SHA,SHARADA INDUSTRIAL
KN-BAT-TUK,TUKUNTAWA
KN-BIC-BIC,BICHI TOWN
KN-BIR-MAJ,MAJESTIC
KN-BIR-SCH,SCHOOL OF NURSING
KN-BOK-BAC,BACHIRAWA
KN-BOK-FAN,FANISAU
KN-BOK-FED,FEDERAL SECRETARIAT
KN-BOK-NOM,NOMANSLAND
KN-BOK-ORT,ORTHOPAEDIC
KN-BRI-BOM,BOMPAI
KN-BRI-GWA,GWAGWARWA
KN-BRI-IND,INDEPENDENCE
KN-BRI-MAI,MAIMALARI
KN-BRI-TUD,TUDUN WADA
KN-BRI-YUS,YUSUF ROAD
KN-BUK-GWA,GWARZO ROAD
KN-BUK-KUN,KUNTAU
KN-BUK-NEW,NEW SITE
KN-CHA-CHA,CHALAWA WATER PLANT
KN-CHA-PAN,PANSHEKARA
KN-CLU-AHM,AHMADU BELLO
KN-CLU-AUD,AUDU BAKO
KN-CLU-BAD,BADAWA
KN-CLU-BAN,BANK ROAD
KN-CLU-LAM,LAMIDO
KN-CLU-MUR,MURTALA MUHAMMED
KN-CLU-RAC,RACE COURSE
KN-DAK2-GEZ,GEZAWA
KN-DAK2-RAN,RANGAZA
KN-DAN-AJA,AJASA
KN-DAN-CIT,CITY
KN-DAN-IBR,IBRAHIM TAIWO
KN-DAN-KOF,KOFAR NASSARAWA
KN-DAN-KOF2,KOFAR NAISA
KN-DAN2-DAW,DAWANAU
KN-DAN3-DAW,DAWAKI
KN-DAU-BAY,BAYAJIDDA
KN-DAU-DAU,DAURAMA
KN-DAU-RIJ,RIJIMA
KN-DUT-GAR,GARU
KN-DUT-GOV,GOVERNMENT HOUSE DUTSE
KN-DUT-LIM,LIMAWA
KN-DUT2-SAN,SANI ABACHA WAY
KN-DUT2-TAK,TAKUR
KN-FAD-APE,APEX
KN-FAD-HAS,HASSAN USMAN ROAD
KN-FAD-KAD,KADARKO
KN-FAD-NAG,NAGOGGO
KN-FAR-DRB,DR BALA
KN-FAR-LAM,LAMBISA
KN-FAR-TAR,TARAUNI
KN-GON-CHI,CHIRANCI
KN-GON-DAL,DALA FOODS
KN-GON-JAE,JAEN
KN-GON-MUN,MUNDADU
KN-GOR-AMI,AMINU KANO
KN-GOR-JAK,JAKARA
KN-GOR-KAB,KABUGA
KN-GOR-SAN,SANI MAINAGGE
KN-GUM-LAU,LAUTAI
KN-HAD-MAJ,MAJE
KN-HAD-SHA,SHAGARI
KN-HAD2-FAN,FANTAI
KN-HAD2-JAM,JAMAARE
KN-IBB-ARM,ARMY BARRACKS
KN-IBB-DAN,DANDAGORO
KN-IBB-GRA,GRA
KN-IBB-KAN,KANO ROAD
KN-IBB-KOF,KOFAR MARUSA
KN-IBB-LOW,LOW COST
KN-IDH-ABU,ABUJA ROAD
KN-IDH-FAG,FAGGE
KN-IDH-GWA,GWAMMAJA
KN-IDH-KOK,KOKI
KN-IDH-SAB,SABON GARI
KN-JOG-TAL,TALAMIZ
KN-JOG-TOK,TOKARAWA
KN-JOG-TSA,TSAMIYA BABBA
KN-KAT-DUT,DUTSEN REME
KN-KAT-IND,INDUSTRIAL
KN-KAT-JAB,JABIRI
KN-KAT-TOW,TOWN
KN-KAW-DAK,DAKATA
KN-KAW-YAN,YANKABA
KN-KAZ-DAN,DANTUNKU
KN-KAZ-KAN,KANTI
KN-KOF-DUT,DUTSEN SAFE
KN-KOF-FMC,FMC
KN-KOF-HOS,HOSPITAL ROAD
KN-KOF-NAT,NATSINTA
KN-KOF2-MUH,MUHAMMED DIKKO
KN-LAW-CAM,CAMPUS
KN-LAW-TIG,TIGA
KN-MAL-MAK,MAKWALLA
KN-MAL2-BCG,BCGA
KN-MAL2-GAL,GALADIMA
KN-MAR-DAN,DANLADI NASIDI
KN-MAR-FAR,FARAWA
KN-MAR-MAI,MAIDUGURI ROAD
KN-MUS-KOF,KOFAR FADA
KN-MUS-MAT,MATAZU
KN-NAI-MAS,MASARAUTA
KN-NAI-YAN,YANLEMO
KN-PRP-AIR,AIRPORT ROAD
KN-PRP-KAU,KAURA GOJE
KN-RAD-BEL,BELLO DANDAGO
KN-SMA-RIM,RIMIN KEBE
KN-SMA-TUD,TUDUN MURTALA
KN-TAM-TAM,TAMBURAWA WATER PLANT
KN-TAM2-DRJ,DR JAMIL GWAMNA
KN-TEX-FUN,FUNTUA TEXTILE MILL
KN-TEX-FUN2,FUNTUA WATER WORKS
KN-TEX-MAI,MAI RUWA
KN-TEX-NAK,NAKOWA
KN-WUD-MAK,MAKAMA
KN-WUD-WUD,WUDIL COMMERCIAL
KN-WUD3-GAY,GAYA
KN-ZAR-HAU,HAUSAWA
KN-ZAR-HOT,HOTORO
KN-ZAR-KAR,KARKASARA
KN-ZAR-KUN,KUNDILA
KN-ZAR-MAR,MARHABA
KN-ZAR-SAL,SALLARI
KN-ZAR-UNG,UNGUWA UKU
